标题,内容,发布时间,链接
南向资金净买入超90亿港元,据同花顺iFinD数据，截至目前，南向资金净买入超90亿港元，其中港股通（沪）买入超57.61亿港元，港股通（深）买入超32.75亿港元。,2026-02-06 10:58:37,https://news.10jqka.com.cn/20260206/c674605733.shtml
软银集团：将在日本利用OpenAI的新企业平台开展合资业务服务,软银集团：将在日本利用OpenAI的新企业平台开展合资业务服务。,2026-02-06 10:58:20,https://news.10jqka.com.cn/20260206/c674605730.shtml
花旗：Arm仍具强劲成长动能与成长股特质，目标价下调至190美元,花旗发表报告指，软银旗下英国芯片设计商Arm去年12月底止2026财年第三季营收与盈利略胜预期。该行认为Arm仍具强劲成长动能与成长股特质，其营收和每股盈利年复合成长率分别达20%和25%以上，足以支撑其溢价估值。报告指，市场短期关注两大疑虑，分别是存储器价格/供应波动对Arm行动端专利费的影响；推动Arm进军实体芯片领域所需的投资规模。关于存储器风险，Arm评估对2027财年专利费影响仅低个位数百分比，且可由数据中心业务抵销。基于云端AI整体潜在市场(TAM)规模增长及CSS技术普及，该行将Arm 2026和2027财年营收预测各上调1%，预期营收将实现23%和21%的强劲增长；目标价由200美元降至190美元，评级“买入”。,2026-02-06 10:57:17,https://news.10jqka.com.cn/20260206/c674605705.shtml
董事长陈邦为一疑似“骗保”精神病院实控人？爱尔眼科方面回应,日前新京报曝光湖北襄阳、宜昌多家精神病院骗保事件后，有媒体将被点名的襄阳恒泰康医院与爱尔眼科及其实际控制人陈邦关联。对此情况，爱尔眼科方面回应记者表示，“襄阳恒泰康医院有限公司并非爱尔眼科体系内企业。该公司为爱尔医疗投资集团有限公司与其他社会资本方合资设立的四级子公司，与爱尔眼科无任何股权关联和业务关系。作为投资人之一，陈邦并不直接参与恒泰康的经营管理。”（21世纪经济报道）,2026-02-06 10:55:40,https://news.10jqka.com.cn/20260206/c674605677.shtml
千问：免单送奶茶活动太火爆，正在紧急加资源保障顺畅,2月6日，千问在社交平台发布动态称，免单送奶茶活动太火爆，正在紧急加资源，全力保障顺畅。此前，据第一财经报道，千问上线奶茶免单活动后，部分用户打开活动页面，发现“千问请客”页面无法点击，页面信息显示“系统开小差了，稍后再试吧”。（第一财经）,2026-02-06 10:54:24,https://news.10jqka.com.cn/20260206/c674605654.shtml
沪深京三市成交额超1.2万亿元，较上日此时缩量777亿元,据同花顺iFinD数据，沪深京三市成交额超1.2万亿元，较上日此时缩量777亿元，预计全天成交金额约2.0万亿元。截至目前，沪市成交额4959亿元，深市成交额6946亿元，北证50成交额94亿元。,2026-02-06 10:54:22,https://news.10jqka.com.cn/20260206/c674605652.shtml
多国推动美伊签订互不侵犯协议,据央视新闻消息，多个国家正积极游说美国和伊朗在即将于阿曼首都马斯喀特举行的谈判中签署互不侵犯协议。沙特、卡塔尔、埃及等国参与其中，并为协议草拟框架，希望美伊双方承诺不以对方为攻击目标。协议内容还涉及各自在中东的盟友和“代理人”。但有消息称，以色列是否会同意遵守该协议仍存疑虑。此前在阿曼斡旋下，美伊已进行多轮谈判，但在铀浓缩问题上分歧难解。,2026-02-06 10:53:29,https://news.10jqka.com.cn/20260206/c674605637.shtml
美伊会谈将至 美政府内部对伊军事行动目标尚无明确共识,多名美方官员透露，在美伊官员计划于6日在阿曼举行会谈前，唐纳德·特朗普政府内部尚未就若对伊朗采取军事行动的具体目标达成明确共识。据悉，特朗普未公开阐明其在伊朗问题上的最终诉求，包括是否寻求政权更迭、削弱现政权，或迫使伊朗接受对核计划和导弹项目的更严格限制。美方官员表示，政府内部也尚无清晰的“事后路线图”，即军事行动后美国将扮演何种角色。美国国务卿马尔科·鲁比奥称，即将举行的谈判应涵盖核项目、弹道导弹、地区代理人活动以及伊朗国内人权问题。不过，伊朗方面此前多次表态，拒绝就核问题以外议题进行谈判。与此同时，美国持续向中东地区增派航母、战机及防空系统。美方称，此举是对地区紧张局势的回应，而非已敲定具体军事行动。多国盟友对潜在军事升级持谨慎态度，敦促美方优先通过谈判避免冲突。（央视新闻）,2026-02-06 10:50:29,https://news.10jqka.com.cn/20260206/c674605585.shtml
ETF两市成交额超2500亿元,截至目前，ETF两市成交额超2500亿，报2565.07亿元，分类型来看，股票型ETF成交额902.5亿元，债券型ETF成交额995.15亿元，货币型ETF成交额146.19亿元，商品型ETF成交额155.91亿元，QDII型ETF成交额234.71亿元。其中，成交额最高的非货币型ETF分别是华夏中证a500ETF（512050）、a500基金（563360）、南方中证500ETF（510500），成交额分别为96.95亿元、61.46亿元、47.27亿元。,2026-02-06 10:49:31,https://news.10jqka.com.cn/20260206/c674605567.shtml
港股茶饮股多数上涨，古茗涨超5%创上市来新高,港股茶饮股多数上涨，古茗涨超5%创上市来新高，沪上阿姨、蜜雪集团跟随上涨。消息面上，今日，阿里千问“春节请客计划”正式上线。根据千问App官方发文，首轮免单活动送奶茶。,2026-02-06 10:49:00,https://news.10jqka.com.cn/20260206/c674605556.shtml
