时间,内容
2026-02-06 11:09:26,印尼农业部：2025年印尼白砂糖产量达267万吨。
2026-02-06 11:07:51,【上海市经信委组织开展2026年安全应急装备应用推广典型案例推荐工作 重点鼓励人工智能、5G等新一代信息技术赋能创新应用】上海市经济信息化委发布《关于组织开展2026年安全应急装备应用推广典型案例推荐工作的通知》。其中提出，本次案例推荐覆盖三大核心场景，聚焦七大装备类型，重点鼓励人工智能、5G等新一代信息技术赋能的创新应用，具体包括：①重点行业领域生产安全及应急救援：涵盖工业制造、房屋市政工程、交通、城乡消防、海洋等领域，重点推荐监测预警、智能防护、工业消防、个体防护、职业健康、智能防护、防毒庇护、洗消、巡检、通信指挥、导航定位等装备应用案例。②自然灾害防治：针对地震地质、洪水内涝、冰雪、火灾等场景，征集预警处置、抢险救援、应急通信、人员搜救等装备应用案例。③社区家庭安全应急：面向家居、景区、活动场馆等环境，推荐应急包、火灾探测报警器、家用灭火器、AED等安全应急产品应用案例。
2026-02-06 11:06:12,【港股创新药概念股震荡走高，诺诚健华涨超10%】港股创新药概念股震荡走高，诺诚健华涨超10%，歌礼制药-B涨超8%，山东新华制药、昭衍新药、信达生物跟涨。
2026-02-06 11:05:28,【江汽集团与布雷博签署战略合作协议】据江汽集团消息，江汽集团（JAC）与制动解决方案提供者布雷博（Brembo）2月5日签署战略合作协议，旨在加强长期合作，共同推动未来汽车平台的创新发展。
2026-02-06 11:04:07,【PCB概念持续拉升，深南电路涨停】PCB概念持续拉升，深南电路涨停，中富电路涨超10%，胜宏科技、鹏鼎控股、富佳股份、生益电子跟涨。
2026-02-06 11:02:26,【美国众议院监督委员会主席：比尔·盖茨可能接受问询】“比尔·盖茨有可能很快就会接受监督委员会问询，”美国国会众议院监督委员会主席James Comer在接受采访时说。她说：“我们仍然并非指控比尔·盖茨有任何不当行为，但我们在爱泼斯坦一事上有很多疑问。”Comer表示，这是一项与杰弗里·爱泼斯坦有关的两党调查。
2026-02-06 11:00:50,美国众议院监督委员会主席：比尔·盖茨可能接受问询。
2026-02-06 11:00:37,【阿里回应千问“崩了”】2月6日，阿里千问正式上线“春节30亿免单”，发放奶茶免单卡。随后，千问app在全国多个地区出现小范围系统故障。对此，阿里巴巴回应称，“我们正在紧急加资源，全力保障顺畅”。（一财）
2026-02-06 11:00:17,【受贿数额特别巨大 重庆市政协原副主席段成刚被提起公诉】从最高人民检察院获悉，重庆市政协原党组成员、副主席段成刚涉嫌受贿一案，由国家监察委员会调查终结，移送检察机关审查起诉。最高人民检察院依法以涉嫌受贿罪对段成刚作出逮捕决定，并指定由广东省广州市人民检察院审查起诉。近日，广东省广州市人民检察院已向广州市中级人民法院提起公诉。检察机关在审查起诉阶段，依法告知了被告人段成刚享有的诉讼权利，并讯问了被告人，听取了辩护人的意见。检察机关起诉指控：被告人段成刚利用担任重庆市江北区委常委、副区长，重庆市巴南区委副书记、区长，重庆北部新区党工委副书记、管委会主任、重庆两江新区党工委委员、管委会副主任，重庆两江新区党工委副书记、管委会副主任，重庆市渝北区委书记，重庆市委常委兼重庆两江新区党工委书记、管委会主任职务上的便利，以及职权或者地位形成的便利条件，通过其他国家工作人员职务上的行为，为有关单位和个人谋取利益，非法收受他人财物，数额特别巨大，依法应当以受贿罪追究其刑事责任。
2026-02-06 10:59:35,截至1月底，印度尼西亚外汇储备降至1546亿美元。
